Data,Tweet
2018-07-20 14:11:08,RT @MaisVoce_Globo: Uma amizade dessas  #MaisVocê #DiaDoAmigo 
2018-07-20 14:10:51,"RT @MaisVoce_Globo: Olha o #PensamentoDoDia aí, gente!!! #MaisVocÊ "
2018-07-20 14:08:31,RT @TVGloboInter: Pensamento poderoso do dia!  #MaisVocê 
2018-07-20 14:08:17,"RT @MaisVoce_Globo: Até segunda, pessoal!!! #MaisVocê "
2018-07-20 14:08:01,"RT @fabiogaj: Começou a nova temporada do Jogo de Panelas no #MaisVocê, e dessa vez vai ser com pessoas de Salvador.  Dos 5 participantes,…"
2018-07-20 14:07:59,RT @MaisVoce_Globo: Vem que sextouuu!! #MaisVocê 
2018-07-20 14:07:00,RT @MaisVoce_Globo: Uma amizade dessas  #MaisVocê #DiaDoAmigo 
2018-07-20 14:06:17,RT @TVGloboInter: Pensamento poderoso do dia!  #MaisVocê 
2018-07-20 14:04:52,RT @TVGloboInter: Pensamento poderoso do dia!  #MaisVocê 
2018-07-20 14:04:18,Pensamento poderoso do dia!  #MaisVocê 
2018-07-20 14:03:00,"RT @MaisVoce_Globo: Olha o #PensamentoDoDia aí, gente!!! #MaisVocÊ "
2018-07-20 14:01:27,"RT @MaisVoce_Globo: Olha o #PensamentoDoDia aí, gente!!! #MaisVocÊ "
2018-07-20 14:00:36,"RT @MaisVoce_Globo: Olha o #PensamentoDoDia aí, gente!!! #MaisVocÊ "
2018-07-20 13:58:38,"RT @MaisVoce_Globo: Olha o #PensamentoDoDia aí, gente!!! #MaisVocÊ "
2018-07-20 13:56:02,"RT @MaisVoce_Globo: Olha o #PensamentoDoDia aí, gente!!! #MaisVocÊ "
2018-07-20 13:54:03,"RT @MaisVoce_Globo: Olha o #PensamentoDoDia aí, gente!!! #MaisVocÊ "
2018-07-20 13:52:28,"RT @MaisVoce_Globo: Olha o #PensamentoDoDia aí, gente!!! #MaisVocÊ "
2018-07-20 13:48:47,"RT @MaisVoce_Globo: Olha o #PensamentoDoDia aí, gente!!! #MaisVocÊ "
2018-07-20 13:48:04,"RT @MaisVoce_Globo: Olha o #PensamentoDoDia aí, gente!!! #MaisVocÊ "
2018-07-20 13:46:09,"RT @MaisVoce_Globo: Olha o #PensamentoDoDia aí, gente!!! #MaisVocÊ "
2018-07-20 13:45:59,RT @ANAMARIABRAGA: Mensagem para começar a quinta-feira! #MaisVocê 
2018-07-20 13:44:42,RT @ANAMARIABRAGA: Que você tenha um lindo dia! Todas essas frases diárias estão aqui:  #MaisVocê 
2018-07-20 13:44:12,"RT @MaisVoce_Globo: Olha o #PensamentoDoDia aí, gente!!! #MaisVocÊ "
2018-07-20 13:44:11,RT @MaisVoce_Globo: Uma amizade dessas  #MaisVocê #DiaDoAmigo 
2018-07-20 13:44:08,"RT @MaisVoce_Globo: Olha o #PensamentoDoDia aí, gente!!! #MaisVocÊ "
2018-07-20 13:43:51,"RT @MaisVoce_Globo: Calma, pessoal, tem #PensamentoDoDia #MaisVocê "
2018-07-20 13:43:04,RT @ANAMARIABRAGA: Corre que ainda dá tempo de preparar para o almoço. #MaisVocê Aqui tem o passo a passo:  
2018-07-20 13:42:42,RT @MaisVoce_Globo: Essa Torta de Limão Invertida    #MaisVocê #ReceitaMaisVocê 
2018-07-20 13:42:41,"RT @MaisVoce_Globo: Olha o #PensamentoDoDia aí, gente!!! #MaisVocÊ "
2018-07-20 13:42:02,"RT @MaisVoce_Globo: Cebolinha, salsinha... tô confusa O_o #MaisVocê "
2018-07-20 13:42:00,RT @MaisVoce_Globo: Uma saia de fuxico!!! Que linda!! #MaisVocê 
2018-07-20 13:41:55,RT @MaisVoce_Globo: Canjiquinha.... hum.... #MaisVocê 
2018-07-20 13:41:34,RT @MaisVoce_Globo: O Tiago tb tá no #JogoDePanelas! #MaisVocê 
2018-07-20 13:41:27,Peixe bem suculento que vai fazer sucesso aí na sua casa. #MaisVocê  
2018-07-20 13:41:25,"RT @MaisVoce_Globo: Olha o #PensamentoDoDia aí, gente!!! #MaisVocÊ "
2018-07-20 13:39:45,"RT @MaisVoce_Globo: Olha o #PensamentoDoDia aí, gente!!! #MaisVocÊ "
2018-07-20 13:38:20,"RT @MaisVoce_Globo: Olha o #PensamentoDoDia aí, gente!!! #MaisVocÊ "
2018-07-20 13:38:08,"RT @MaisVoce_Globo: Olha o #PensamentoDoDia aí, gente!!! #MaisVocÊ "
2018-07-20 13:35:37,"RT @MaisVoce_Globo: Olha o #PensamentoDoDia aí, gente!!! #MaisVocÊ "
2018-07-20 13:33:47,"RT @MaisVoce_Globo: Olha o #PensamentoDoDia aí, gente!!! #MaisVocÊ "
2018-07-20 13:33:33,"RT @MaisVoce_Globo: Olha o #PensamentoDoDia aí, gente!!! #MaisVocÊ "
2018-07-20 13:33:24,"RT @MaisVoce_Globo: Olha o #PensamentoDoDia aí, gente!!! #MaisVocÊ "
2018-07-20 13:32:26,"RT @MaisVoce_Globo: Olha o #PensamentoDoDia aí, gente!!! #MaisVocÊ "
2018-07-20 13:31:50,"RT @MaisVoce_Globo: Olha o #PensamentoDoDia aí, gente!!! #MaisVocÊ "
2018-07-20 13:31:11,"RT @MaisVoce_Globo: Olha o #PensamentoDoDia aí, gente!!! #MaisVocÊ "
2018-07-20 13:30:29,"RT @MaisVoce_Globo: Olha o #PensamentoDoDia aí, gente!!! #MaisVocÊ "
2018-07-20 13:29:02,"RT @MaisVoce_Globo: Olha o #PensamentoDoDia aí, gente!!! #MaisVocÊ "
2018-07-20 13:25:03,"RT @MaisVoce_Globo: Olha o #PensamentoDoDia aí, gente!!! #MaisVocÊ "
2018-07-20 13:24:35,RT @MaisVoce_Globo: Uma amizade dessas  #MaisVocê #DiaDoAmigo 
2018-07-20 13:23:51,"RT @MaisVoce_Globo: Olha o #PensamentoDoDia aí, gente!!! #MaisVocÊ "
2018-07-20 13:23:41,"RT @MaisVoce_Globo: Olha o #PensamentoDoDia aí, gente!!! #MaisVocÊ "
2018-07-20 13:23:07,"RT @MaisVoce_Globo: Olha o #PensamentoDoDia aí, gente!!! #MaisVocÊ "
2018-07-20 13:21:22,"RT @MaisVoce_Globo: Olha o #PensamentoDoDia aí, gente!!! #MaisVocÊ "
2018-07-20 13:21:22,RT @MaisVoce_Globo: Uma amizade dessas  #MaisVocê #DiaDoAmigo 
2018-07-20 13:21:16,"RT @MaisVoce_Globo: Olha o #PensamentoDoDia aí, gente!!! #MaisVocÊ "
2018-07-20 13:20:54,"RT @MaisVoce_Globo: Olha o #PensamentoDoDia aí, gente!!! #MaisVocÊ "
2018-07-20 13:20:36,RT @ANAMARIABRAGA: Essa foi a primeira aparição pública da família com o terceiro filho. #MaisVocê  
2018-07-20 13:19:39,@MaisVoce_Globo O peixe do Mais Você está igual o peixe da Itália pode servir!  #MaisVoce 
